primary_topic.display_name,country_list,count,year
AI in Service Interactions,US,176,2021
AI in Service Interactions,IN,143,2021
AI in Service Interactions,DE,109,2021
AI in Service Interactions,GB,74,2021
AI in Service Interactions,CN,70,2021
AI in Service Interactions,ES,43,2021
AI in Service Interactions,AU,40,2021
AI in Service Interactions,ID,40,2021
AI in Service Interactions,KR,38,2021
AI in Service Interactions,IT,33,2021
AI in Service Interactions,TW,32,2021
AI in Service Interactions,CA,28,2021
AI in Service Interactions,CH,23,2021
AI in Service Interactions,FR,23,2021
AI in Service Interactions,MY,22,2021
AI in Service Interactions,NL,22,2021
AI in Service Interactions,TR,19,2021
AI in Service Interactions,BR,18,2021
AI in Service Interactions,GR,16,2021
AI in Service Interactions,HK,15,2021
AI in Service Interactions,FI,14,2021
AI in Service Interactions,NO,14,2021
AI in Service Interactions,PT,13,2021
AI in Service Interactions,IE,12,2021
AI in Service Interactions,SG,12,2021
AI in Service Interactions,AE,11,2021
AI in Service Interactions,JP,11,2021
AI in Service Interactions,SA,11,2021
AI in Service Interactions,RU,10,2021
AI in Service Interactions,AT,9,2021
AI in Service Interactions,EG,9,2021
AI in Service Interactions,NG,9,2021
AI in Service Interactions,PL,9,2021
AI in Service Interactions,RO,9,2021
AI in Service Interactions,SE,9,2021
AI in Service Interactions,VN,9,2021
AI in Service Interactions,NZ,8,2021
AI in Service Interactions,PK,8,2021
AI in Service Interactions,TH,8,2021
AI in Service Interactions,ZA,8,2021
AI in Service Interactions,PE,7,2021
AI in Service Interactions,BG,6,2021
AI in Service Interactions,BH,6,2021
AI in Service Interactions,DK,6,2021
AI in Service Interactions,IL,6,2021
AI in Service Interactions,LT,6,2021
AI in Service Interactions,MA,6,2021
AI in Service Interactions,BE,5,2021
AI in Service Interactions,EC,5,2021
AI in Service Interactions,JO,5,2021
AI in Service Interactions,MX,5,2021
AI in Service Interactions,PH,5,2021
AI in Service Interactions,CL,4,2021
AI in Service Interactions,CY,4,2021
AI in Service Interactions,MO,4,2021
AI in Service Interactions,RS,4,2021
AI in Service Interactions,CO,3,2021
AI in Service Interactions,GH,3,2021
AI in Service Interactions,HR,3,2021
AI in Service Interactions,IR,3,2021
AI in Service Interactions,LV,3,2021
AI in Service Interactions,CZ,2,2021
AI in Service Interactions,FJ,2,2021
AI in Service Interactions,IQ,2,2021
AI in Service Interactions,LB,2,2021
AI in Service Interactions,LK,2,2021
AI in Service Interactions,LU,2,2021
AI in Service Interactions,MK,2,2021
AI in Service Interactions,AR,1,2021
AI in Service Interactions,AZ,1,2021
AI in Service Interactions,BA,1,2021
AI in Service Interactions,BD,1,2021
AI in Service Interactions,CU,1,2021
AI in Service Interactions,DZ,1,2021
AI in Service Interactions,JM,1,2021
AI in Service Interactions,KZ,1,2021
AI in Service Interactions,MC,1,2021
AI in Service Interactions,MU,1,2021
AI in Service Interactions,NA,1,2021
AI in Service Interactions,PR,1,2021
AI in Service Interactions,SK,1,2021
AI in Service Interactions,SN,1,2021
AI in Service Interactions,SZ,1,2021
AI in Service Interactions,TZ,1,2021
AI in Service Interactions,YE,1,2021
AI in cancer detection,CN,577,2021
AI in cancer detection,IN,505,2021
AI in cancer detection,US,497,2021
AI in cancer detection,GB,165,2021
AI in cancer detection,CA,82,2021
AI in cancer detection,DE,82,2021
AI in cancer detection,AU,77,2021
AI in cancer detection,SA,70,2021
AI in cancer detection,KR,69,2021
AI in cancer detection,JP,62,2021
AI in cancer detection,EG,59,2021
AI in cancer detection,ES,55,2021
AI in cancer detection,PK,55,2021
AI in cancer detection,FR,54,2021
AI in cancer detection,IT,54,2021
AI in cancer detection,ID,53,2021
AI in cancer detection,TR,48,2021
AI in cancer detection,MY,47,2021
AI in cancer detection,BR,46,2021
AI in cancer detection,CH,41,2021
AI in cancer detection,TW,40,2021
AI in cancer detection,BD,37,2021
AI in cancer detection,HK,37,2021
AI in cancer detection,IR,36,2021
AI in cancer detection,NL,36,2021
AI in cancer detection,SE,35,2021
AI in cancer detection,AE,34,2021
AI in cancer detection,IQ,31,2021
AI in cancer detection,GR,25,2021
AI in cancer detection,PL,25,2021
AI in cancer detection,NO,23,2021
AI in cancer detection,PT,21,2021
AI in cancer detection,RU,21,2021
AI in cancer detection,SG,21,2021
AI in cancer detection,AT,19,2021
AI in cancer detection,NG,19,2021
AI in cancer detection,VN,15,2021
AI in cancer detection,FI,14,2021
AI in cancer detection,DZ,12,2021
AI in cancer detection,MX,12,2021
AI in cancer detection,TH,12,2021
AI in cancer detection,BE,11,2021
AI in cancer detection,IL,11,2021
AI in cancer detection,MA,11,2021
AI in cancer detection,NP,11,2021
AI in cancer detection,RO,11,2021
AI in cancer detection,ZA,11,2021
AI in cancer detection,JO,10,2021
AI in cancer detection,TN,10,2021
AI in cancer detection,ET,8,2021
AI in cancer detection,HR,8,2021
AI in cancer detection,CY,7,2021
AI in cancer detection,HU,7,2021
AI in cancer detection,CO,6,2021
AI in cancer detection,EC,6,2021
AI in cancer detection,IE,6,2021
AI in cancer detection,UA,6,2021
AI in cancer detection,CZ,5,2021
AI in cancer detection,PH,5,2021
AI in cancer detection,DK,4,2021
AI in cancer detection,LK,4,2021
AI in cancer detection,LT,4,2021
AI in cancer detection,NZ,4,2021
AI in cancer detection,AF,3,2021
AI in cancer detection,AR,3,2021
AI in cancer detection,BY,3,2021
AI in cancer detection,CL,3,2021
AI in cancer detection,KW,3,2021
AI in cancer detection,MO,3,2021
AI in cancer detection,SI,3,2021
AI in cancer detection,BH,2,2021
AI in cancer detection,CR,2,2021
AI in cancer detection,GH,2,2021
AI in cancer detection,LB,2,2021
AI in cancer detection,LY,2,2021
AI in cancer detection,OM,2,2021
AI in cancer detection,PS,2,2021
AI in cancer detection,RS,2,2021
AI in cancer detection,YE,2,2021
AI in cancer detection,AZ,1,2021
AI in cancer detection,BA,1,2021
AI in cancer detection,BG,1,2021
AI in cancer detection,BW,1,2021
AI in cancer detection,CM,1,2021
AI in cancer detection,CU,1,2021
AI in cancer detection,KN,1,2021
AI in cancer detection,KZ,1,2021
AI in cancer detection,LU,1,2021
AI in cancer detection,LV,1,2021
AI in cancer detection,MG,1,2021
AI in cancer detection,MM,1,2021
AI in cancer detection,MU,1,2021
AI in cancer detection,PE,1,2021
AI in cancer detection,QA,1,2021
AI in cancer detection,SK,1,2021
AI in cancer detection,SN,1,2021
AI in cancer detection,SY,1,2021
AI in cancer detection,UG,1,2021
AI in cancer detection,UZ,1,2021
AI in cancer detection,VE,1,2021
AI in cancer detection,ZM,1,2021
AI in cancer detection,ZW,1,2021
Advanced Mathematical Modeling in Engineering,US,246,2021
Advanced Mathematical Modeling in Engineering,CN,177,2021
Advanced Mathematical Modeling in Engineering,RU,138,2021
Advanced Mathematical Modeling in Engineering,FR,126,2021
Advanced Mathematical Modeling in Engineering,DE,117,2021
Advanced Mathematical Modeling in Engineering,IT,111,2021
Advanced Mathematical Modeling in Engineering,GB,54,2021
Advanced Mathematical Modeling in Engineering,ES,44,2021
Advanced Mathematical Modeling in Engineering,BR,39,2021
Advanced Mathematical Modeling in Engineering,JP,38,2021
Advanced Mathematical Modeling in Engineering,HK,37,2021
Advanced Mathematical Modeling in Engineering,PL,31,2021
Advanced Mathematical Modeling in Engineering,AT,25,2021
Advanced Mathematical Modeling in Engineering,MA,25,2021
Advanced Mathematical Modeling in Engineering,CA,22,2021
Advanced Mathematical Modeling in Engineering,NL,21,2021
Advanced Mathematical Modeling in Engineering,SE,21,2021
Advanced Mathematical Modeling in Engineering,CZ,20,2021
Advanced Mathematical Modeling in Engineering,AU,19,2021
Advanced Mathematical Modeling in Engineering,CH,19,2021
Advanced Mathematical Modeling in Engineering,RO,16,2021
Advanced Mathematical Modeling in Engineering,SA,16,2021
Advanced Mathematical Modeling in Engineering,CL,15,2021
Advanced Mathematical Modeling in Engineering,IN,15,2021
Advanced Mathematical Modeling in Engineering,KR,15,2021
Advanced Mathematical Modeling in Engineering,DZ,14,2021
Advanced Mathematical Modeling in Engineering,NO,14,2021
Advanced Mathematical Modeling in Engineering,UA,13,2021
Advanced Mathematical Modeling in Engineering,VN,11,2021
Advanced Mathematical Modeling in Engineering,BE,10,2021
Advanced Mathematical Modeling in Engineering,GR,10,2021
Advanced Mathematical Modeling in Engineering,IL,9,2021
Advanced Mathematical Modeling in Engineering,IR,9,2021
Advanced Mathematical Modeling in Engineering,KZ,8,2021
Advanced Mathematical Modeling in Engineering,FI,7,2021
Advanced Mathematical Modeling in Engineering,HU,7,2021
Advanced Mathematical Modeling in Engineering,PT,7,2021
Advanced Mathematical Modeling in Engineering,TR,7,2021
Advanced Mathematical Modeling in Engineering,CO,6,2021
Advanced Mathematical Modeling in Engineering,HR,6,2021
Advanced Mathematical Modeling in Engineering,LT,6,2021
Advanced Mathematical Modeling in Engineering,MX,6,2021
Advanced Mathematical Modeling in Engineering,UZ,6,2021
Advanced Mathematical Modeling in Engineering,AR,5,2021
Advanced Mathematical Modeling in Engineering,EG,5,2021
Advanced Mathematical Modeling in Engineering,PH,5,2021
